16 33 7 33 30 30 8 30 1 30 30 30 30 7 8 2 4 30 7 30 30 30 33 8 33 30 1 21 30 9 30 30 30 10 16 16 21 1 16 16 30 10 30 9 2 16 1 13 22 2 22 16 1 16 2 1 16 2 16 2 33 30 7 8 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 33 7 33 30 30 8 30 1 30 30 30 30 7 8 2 4 30 7 30 30 30 33 8 33 30 1 21 30 9 30 30 30 10 16 16 21 1 16 16 30 10 30 9 2 16 1 13 22 2 22 16 1 16 2 1 16 2 16 2 33 30 7 8 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 24 1 13 22 2 1 13 22 2 30 7 30 30 30 1 30 30 7 2 16 1 13 16 2 33 7 33 30 1 21 16 1 13 22 2 21 30 8 30 30 30 1 30 30 8 2 21 8 16 16 21 16 16 8 2 33 30 7 16 13 16 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 30 7 30 30 30 1 30 30 7 2 4 30 7 33 33 1 30 8 33 30 33 30 1 21 2 30 7 8 2 16 1 16 2 1 16 2 16 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 16 21 7 16 16 21 1 16 30 8 30 30 30 1 21 16 1 13 22 2 21 30 9 30 30 30 1 22 30 10 30 30 1 21 16 2 33 30 33 10 2 30 30 9 2 30 30 8 16 1 17 2 1 17 2 17 2 16 16 7 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 21 7 16 16 21 1 16 16 7 2 30 7 30 30 30 8 33 30 1 26 33 18 28 30 8 30 7 2 4 30 7 30 1 21 2 30 8 30 1 17 2 30 30 30 30 8 26 33 18 28 30 7 13 22 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 26 16 14 14 18 28 7 16 16 21 1 16 26 16 14 14 18 28 7 21 1 16 2 30 7 33 30 33 30 8 26 33 18 28 30 30 30 7 8 2 16 1 13 22 2 16 16 0 21 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 30 7 33 30 1 21 30 8 33 30 30 1 36 8 2 16 1 13 22 2 21 30 8 30 1 16 2 30 30 30 30 8 16 32 2 30 30 1 33 7 2 21 7 16 16 21 1 16 16 22 2 16 16 7 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
21 30 7 33 30 1 21 30 8 30 30 30 1 30 30 8 2 24 1 21 2 1 13 22 2 13 22 2 33 33 7 16 1 13 22 2 30 7 30 1 17 2 30 30 30 30 7 17 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 5
16 22 26 16 14 18 28 7 26 16 14 18 28 1 16 26 16 14 14 18 28 8 22 26 16 14 14 28 7 1 16 2 33 7 30 9 30 30 30 30 30 9 30 9 30 10 16 21 16 1 13 22 2 30 10 30 10 30 11 30 30 30 30 30 11 33 8 30 10 30 7 9 2 21 1 16 2 16 1 13 22 2 30 7 30 30 30 30 30 7 25 25 25 25 25 25 25 25 5
